Temat;Lokalizacja;Data rozpoczêcia;Czas rozpoczêcia;Data zakoñczenia;Czas zakoñczenia;Przypomnienie w³./wy³.;Data przypomnienia;Czas przypomnienia
Psychologia (w) [1];317 S;30.09.2023;08:00:00;30.09.2023;09:35:00;Fa³sz;30.09.2023;08:00:00
Psychologia (w) [2];317 S;30.09.2023;09:50:00;30.09.2023;11:25:00;Fa³sz;30.09.2023;09:50:00
Wprowadzenie do in¿ynierii systemów (w) [1];317 S;30.09.2023;11:40:00;30.09.2023;13:15:00;Fa³sz;30.09.2023;11:40:00
Wprowadzenie do in¿ynierii systemów (w) [2];317 S;30.09.2023;13:30:00;30.09.2023;15:05:00;Fa³sz;30.09.2023;13:30:00
Podstawy bezpieczeñstwa informacji (w) [1];101 65;30.09.2023;15:45:00;30.09.2023;17:20:00;Fa³sz;30.09.2023;15:45:00
Podstawy bezpieczeñstwa informacji (w) [2];101 65;30.09.2023;17:35:00;30.09.2023;19:10:00;Fa³sz;30.09.2023;17:35:00
Metody eksploracji danych (w) [1];309 S;01.10.2023;08:00:00;01.10.2023;09:35:00;Fa³sz;01.10.2023;08:00:00
Hurtownie danych (w) [1];308 S;01.10.2023;09:50:00;01.10.2023;11:25:00;Fa³sz;01.10.2023;09:50:00
Programowanie w jêzykach funkcyjnych (w) [1];317 S;01.10.2023;11:40:00;01.10.2023;13:15:00;Fa³sz;01.10.2023;11:40:00
Psychologia (w) [3];317 S;07.10.2023;08:00:00;07.10.2023;09:35:00;Fa³sz;07.10.2023;08:00:00
Psychologia (w) [4];317 S;07.10.2023;09:50:00;07.10.2023;11:25:00;Fa³sz;07.10.2023;09:50:00
Hurtownie danych (w) [2];314 S;07.10.2023;11:40:00;07.10.2023;13:15:00;Fa³sz;07.10.2023;11:40:00
Hurtownie danych (w) [3];314 S;07.10.2023;13:30:00;07.10.2023;15:05:00;Fa³sz;07.10.2023;13:30:00
Podstawy bezpieczeñstwa informacji (w) [3];101 65;07.10.2023;15:45:00;07.10.2023;17:20:00;Fa³sz;07.10.2023;15:45:00
Podstawy bezpieczeñstwa informacji (w) [4];101 65;07.10.2023;17:35:00;07.10.2023;19:10:00;Fa³sz;07.10.2023;17:35:00
Metody eksploracji danych (w) [2];309 S;08.10.2023;08:00:00;08.10.2023;09:35:00;Fa³sz;08.10.2023;08:00:00
Programowanie w jêzykach funkcyjnych (w) [2];307 S;08.10.2023;11:40:00;08.10.2023;13:15:00;Fa³sz;08.10.2023;11:40:00
Wprowadzenie do in¿ynierii systemów (æ) [1];307 S;08.10.2023;13:30:00;08.10.2023;15:05:00;Fa³sz;08.10.2023;13:30:00
Wprowadzenie do in¿ynierii systemów (æ) [2];307 S;08.10.2023;15:45:00;08.10.2023;17:20:00;Fa³sz;08.10.2023;15:45:00
Psychologia (w) [5];317 S;21.10.2023;08:00:00;21.10.2023;09:35:00;Fa³sz;21.10.2023;08:00:00
Psychologia (w) [6];317 S;21.10.2023;09:50:00;21.10.2023;11:25:00;Fa³sz;21.10.2023;09:50:00
Podstawy zarz¹dzania i przedsiêbiorczoœci (w) [1];308 S;21.10.2023;11:40:00;21.10.2023;13:15:00;Fa³sz;21.10.2023;11:40:00
Grafika komputerowa (w) [1];316 S;21.10.2023;13:30:00;21.10.2023;15:05:00;Fa³sz;21.10.2023;13:30:00
Hurtownie danych (w) [4];309 S;21.10.2023;15:45:00;21.10.2023;17:20:00;Fa³sz;21.10.2023;15:45:00
Programowanie w jêzykach funkcyjnych (w) [3];317 S;22.10.2023;09:50:00;22.10.2023;11:25:00;Fa³sz;22.10.2023;09:50:00
Niezawodnoœæ systemów komputerowych (w) [1];307 S;22.10.2023;11:40:00;22.10.2023;13:15:00;Fa³sz;22.10.2023;11:40:00
Metody programowania .NET (w) [1];308 S;22.10.2023;13:30:00;22.10.2023;15:05:00;Fa³sz;22.10.2023;13:30:00
Wprowadzenie do in¿ynierii systemów (w) [3];317 S;22.10.2023;15:45:00;22.10.2023;17:20:00;Fa³sz;22.10.2023;15:45:00
Wprowadzenie do in¿ynierii systemów (æ) [3];317 S;22.10.2023;17:35:00;22.10.2023;19:10:00;Fa³sz;22.10.2023;17:35:00
Wprowadzenie do in¿ynierii systemów (æ) [4];317 S;22.10.2023;19:25:00;22.10.2023;21:00:00;Fa³sz;22.10.2023;19:25:00
